date,region,current_inpatient,current_critical
27-Mar,Far North,0,0
27-Mar,North,1,0
27-Mar,Central,0,0
27-Mar,Saskatoon,1,1
27-Mar,South,0,0
27-Mar,Regina,2,1
28-Mar,Far North,0,0
28-Mar,North,1,0
28-Mar,Central,0,1
28-Mar,Saskatoon,1,1
28-Mar,South,0,0
28-Mar,Regina,1,1
29-Mar,Far North,0,0
29-Mar,North,1,0
29-Mar,Central,0,1
29-Mar,Saskatoon,2,0
29-Mar,South,0,0
29-Mar,Regina,0,1
30-Mar,Far North,0,0
30-Mar,North,1,0
30-Mar,Central,0,0
30-Mar,Saskatoon,3,0
30-Mar,South,0,0
30-Mar,Regina,0,1
31-Mar,Far North,0,0
31-Mar,North,0,0
31-Mar,Central,0,0
31-Mar,Saskatoon,3,0
31-Mar,South,0,0
31-Mar,Regina,0,1
1-Apr,Far North,0,0
1-Apr,North,0,0
1-Apr,Central,0,0
1-Apr,Saskatoon,3,0
1-Apr,South,0,0
1-Apr,Regina,0,1
2-Apr,Far North,0,0
2-Apr,North,0,0
2-Apr,Central,0,0
2-Apr,Saskatoon,2,1
2-Apr,South,0,0
2-Apr,Regina,0,1
3-Apr,Far North,0,0
3-Apr,North,0,0
3-Apr,Central,0,0
3-Apr,Saskatoon,2,0
3-Apr,South,0,0
3-Apr,Regina,0,1
4-Apr,Far North,0,0
4-Apr,North,0,0
4-Apr,Central,0,0
4-Apr,Saskatoon,3,0
4-Apr,South,0,0
4-Apr,Regina,0,1
5-Apr,Far North,0,0
5-Apr,North,0,0
5-Apr,Central,0,0
5-Apr,Saskatoon,2,1
5-Apr,South,0,0
5-Apr,Regina,0,1
6-Apr,Far North,0,0
6-Apr,North,0,0
6-Apr,Central,0,0
6-Apr,Saskatoon,2,1
6-Apr,South,0,0
6-Apr,Regina,0,1
7-Apr,Far North,0,0
7-Apr,North,0,0
7-Apr,Central,0,0
7-Apr,Saskatoon,4,1
7-Apr,South,0,0
7-Apr,Regina,1,1
8-Apr,Far North,0,0
8-Apr,North,1,0
8-Apr,Central,0,0
8-Apr,Saskatoon,4,1
